patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-95-7567-01A-11R-2066-07	TCGA-95-7567	LUAD	0.326	23.5014	2.1449	3.4476	137.6054	0.65	580.528	13.9202	7.1338	36.6304	15.0446	70.2457	23.8361	19.7289	0.5567	0.2229	0.0256	0.9354	0.0077	0.0139	25.3836	0.0485	6.2161	64.3628	44.794	15.4075	0.0582	3.0821	11.5405	0.6962	0.0254	1.3533	8.7448	115.206	2.5732	0.1459	46.7241	11.1454	12.6402	3.2508	10.626	0.0293	1.3069	6.297	1.6773	3.1788	0.0045	315.7269	2.1776	18.3929	0.0153	32.3785	3.2274	50.0207	5.3921	67.6042	0.5595	13.6754	5.9906	4.5357	0.0757	0.949	50.1092	765.1384	0.5698	0.033	0.5298	0	7.6613
TCGA-95-7944-01A-11R-2187-07	TCGA-95-7944	LUAD	0.1706	26.2171	0.6206	2.1709	247.9535	4.407	288.3368	30.9066	91.9361	37.8699	35.9737	112.1549	52.143	24.5907	1.2713	1.5026	0.0327	8.5097	0	0	10.6406	0.1084	7.1896	80.2575	64.2944	26.7644	0.0247	7.147	34.4903	0.7064	0.3786	3.4674	118.365	208.7704	5.4515	0.1969	166.5477	45.9754	2.0784	38.4984	63.3293	0.3162	3.2794	32.1539	9.3847	11.5553	0.0228	197.9601	5.3287	39.5036	0.4207	27.404	8.7599	67.3906	5.5382	76.2379	2.6803	35.8372	46.0731	9.6535	2.2409	2.6162	70.0665	1791.5166	3.7113	0.89	2.1926	0.0109	10.4046
TCGA-95-7947-01A-11R-2187-07	TCGA-95-7947	LUAD	0.2448	18.5837	3.1527	1.6024	122.5322	0.8841	184.881	21.1846	3.2466	31.3677	17.7789	110.5877	34.2343	9.5268	0.4493	5.7825	0.0271	0.5386	0	0.0147	10.901	0.7379	3.7116	36.3517	32.5132	18.7049	0.0684	2.5404	8	0.2833	0.0807	1.724	22.9355	97.5077	1.4012	0.097	37.3582	22.1273	7.9532	16.3602	8.7524	0.0738	1.8381	4.8008	5.626	36.1758	0.0708	322.9335	1.368	16.7149	0.0811	33.5012	10.7717	19.2866	2.7574	39.348	0.4511	17.8344	3.9879	3.1201	0.2241	1.3093	25.0155	1713.6414	0.7258	0.0947	1.0757	0	7.9877
TCGA-95-7948-01A-11R-2187-07	TCGA-95-7948	LUAD	0.1298	8.287	5.004	0.4899	311.952	0.1728	374.405	24.1786	1.2739	12.9735	2.4163	84.3903	25.2818	41.9562	0.4414	32.3652	0	0.1248	0.018	0	10.3045	0.0995	2.3608	18.8399	36.3859	16.8675	0.0303	0.3844	24.9209	0.3032	0	1.111	52.9894	82	0.4452	0.0977	3.2369	7.2861	12.4658	5.3546	4.1997	0.0554	0.9082	2.1322	0.5247	1.8792	0	302.6453	0.3611	5.4179	0.009	20.0469	2.4473	8.2494	1.645	41.0494	0.3405	3.4176	1.2676	1.9217	0.0089	0.3715	14.4317	1982.0486	0.1771	0.0055	0.2102	0.01	2.163
TCGA-95-8039-01A-11R-2241-07	TCGA-95-8039	LUAD	0.3379	36.6015	2.2796	5.1645	168.3043	0.9082	429.2511	22.8773	4.5473	50.5594	5.7516	72.6659	22.6957	23.1067	1.5344	1.7938	0.1841	0.3403	0	0	14.1522	0.2864	7.2532	53.4466	69.8951	14.6494	0.1923	3.8653	34.686	1.8092	0.0174	1.0417	114.5785	74.9115	3.4432	0.1669	14.5776	20.9416	8.0141	11.2807	10.8236	0.0439	2.1407	2.8815	1.2047	14.5296	0.0366	140.9977	3.7822	28.0162	0.0315	35.2502	14.3226	14.5283	8.4447	44.3538	0.2593	15.1185	4.0911	4.2678	0.101	0.9545	32.1487	2378.0067	1.4322	0.0822	1.4734	0.0176	36.1663
TCGA-95-8494-01A-11R-2326-07	TCGA-95-8494	LUAD	0.1897	22.8738	1.6497	1.8308	298.1827	0.318	1273.6453	26.5117	6.8482	43.0211	8.3691	174.174	30.8849	19.6902	2.1384	162.4677	0.0287	0.1856	0.0172	0	78.793	0.2037	5.9871	18.7422	23.1994	90.2008	0.0723	5.7437	236.9792	1.4388	0	4.6729	125.2207	245.8708	1.3531	0.1494	0.686	92.8946	9.3839	36.1375	2.0422	0.0302	3.0602	0.9897	1.5755	26.7266	0.01	140.9585	2.0101	21.2645	0	23.9564	3.1142	6.9942	15.6561	43.1276	0.1034	12.1839	1.5044	1.1551	0.0508	0.6199	31.6664	1109.9273	0.4947	0.0844	1.9705	0	16.4595
TCGA-95-A4VK-01A-11R-A262-07	TCGA-95-A4VK	LUAD	0.5287	14.2797	2.1381	2.1162	167.9954	0.8502	468.5678	24.6674	4.745	23.273	15.7585	91.1505	25.1262	14.1354	0.3539	0.2776	0.105	0.3492	0	0.0228	20.5194	0.7254	1.9001	48.1187	102.5092	9.6042	0.1376	1.464	9.72	0.3363	0	0.2654	6.7619	173.6603	1.5594	0.123	26.4188	15.6403	37.8242	10.6781	8.3113	0.1291	4.0493	6.1253	0.8476	5.605	0.0073	381.4461	2.0638	10.7928	0	49.2642	9.3031	14.2951	2.7052	18.6168	0.6542	4.763	3.7038	4.012	0.186	1.5974	9.8968	438.7923	1.6385	0.2084	0.7	0	4.1432
TCGA-95-A4VN-01A-11R-A262-07	TCGA-95-A4VN	LUAD	0.3806	41.134	1.6338	3.2475	159.6724	1.3013	586.2732	19.1376	26.1975	98.2886	49.5635	193.9384	27.8901	27.6124	1.7795	9.7495	0.0202	2.3538	0	0	70.334	0.3445	8.4315	78.6127	66.0949	31.4262	0.0714	47.4802	55.6072	1.38	0.0535	3.0825	52.247	182.0154	4.8191	0.3421	91.7096	42.3741	12.3056	88.9146	31.257	0.1456	2.2096	14.0229	1.4877	4.0023	0.0845	1103.7501	5.9833	38.0984	0.0846	28.0396	15.8656	92.7991	7.8032	95.307	1.5084	34.9312	15.7313	6.3784	0.967	0.7654	46.2987	1484.9001	1.1375	0.4162	1.8605	0	13.9884
TCGA-95-A4VP-01A-21R-A262-07	TCGA-95-A4VP	LUAD	0.3293	22.6709	0.2755	1.8352	86.2808	1.3346	186.7189	9.0648	14.4682	32.064	13.182	47.0049	36.1506	18.4246	0.3306	1.8347	0	0.4785	0.0141	0.0511	25.2774	0.2897	4.6674	21.3887	91.9262	3.5207	0.0475	2.411	14.1282	0.7625	0.0156	1.1118	12.8535	110.7584	2.3004	0.2068	15.2554	3.5562	7.1139	19.7783	17.4924	0.151	1.2865	7.2053	1.7731	7.006	0.0246	74.5194	15.1772	9.2481	0.0704	28.4121	5.5046	8.0482	2.4823	44.2436	1.1577	5.1732	5.7956	2.7728	0.2363	0.5434	17.3129	672.6833	1.3246	0.1385	0.5494	0	5.8644
TCGA-97-7546-01A-11R-2039-07	TCGA-97-7546	LUAD	0.1139	37.0044	1.5961	1.5052	56.7305	0.8154	271.5413	21.535	2.7271	48.9112	5.4096	67.2272	11.7215	24.0737	1.0823	1.3594	0.1424	0.282	0.0122	0.0221	7.9505	0.2215	7.2143	25.1044	91.5204	4.4031	0.2668	5.4983	22.3768	0.8008	0.0135	5.7888	67.3869	96.1715	3.5343	0.3046	19.6107	4.2599	4.231	19.1149	8.4368	0.8902	0.9752	7.759	3.772	15.8053	0.0425	94.4545	1.2449	31.1015	0.0243	51.0764	25.7875	8.4101	7.6498	37.9257	0.7117	8.9158	4.033	3.1305	0.0961	1.3303	21.2067	2187.3281	0.8495	0.0673	2.1439	0.0272	35.6416
TCGA-97-7547-01A-11R-2039-07	TCGA-97-7547	LUAD	0.0181	22.7054	3.6454	1.0397	148.5067	0.3037	284.569	16.6633	1.144	33.4308	16.3113	85.9156	21.0779	25.5272	0.6137	0.062	0.0178	0.0987	0.032	0	7.1188	0.6238	2.8817	22.3129	55.7046	12.0824	0.0449	2.0908	34.328	0.2667	0	0.457	51.673	64.6669	1.3631	0.1507	10.7546	13.3322	12.1155	4.4733	2.8914	1.8509	1.9049	2.1569	1.2409	18.4434	0.0248	88.4782	0.9312	21.8735	0.0213	36.6369	5.3661	5.156	4.0361	76.3522	0.2907	10.4766	1.7412	2.1727	0.0736	1.24	14.5752	1314.3017	0.5334	0.0589	0.2969	0	15.0923
TCGA-97-7552-01A-11R-2039-07	TCGA-97-7552	LUAD	0.4428	45.3329	4.2831	3.0067	146.4718	2.665	125.6026	15.818	9.8269	32.4444	45.8892	74.0111	16.6326	26.4894	1.0376	29.5681	0.0562	4.2202	0.0224	0.0203	4.4253	0.7708	8.038	97.992	55.3318	24.8846	0.0283	3.8953	17.4982	0.9518	0.0743	2.9305	26.8992	77.5609	1.734	0.2741	80.6627	9.4853	7.797	4.6075	43.8539	0.4226	1.8216	34.4437	6.2409	26.9194	0.5802	45.765	1.3605	62.6535	0.0112	40.6476	15.0826	49.5553	9.3826	69.7621	2.0433	15.3081	23.424	13.1835	0.5195	3.7714	39.7766	1778.3674	4.4506	0.6468	0.6366	0.0125	15.612
TCGA-97-7553-01A-21R-2039-07	TCGA-97-7553	LUAD	0.1658	73.611	2.2079	1.5887	136.6046	1.968	218.8426	21.3619	12.9938	49.123	22.4183	91.5317	18.802	30.0158	3.2346	0.4158	0.1086	0.5353	0	0.0197	9.8915	0.2571	17.8657	38.7924	130.789	12.1387	0.0548	5.548	53.3182	1.2611	0.2035	14.5764	90.1075	63.7592	3.1498	0.6657	22.7169	12.9174	6.584	61.3676	17.1612	0.1925	1.2434	11.8669	3.4033	25.7223	0.1387	320.0398	1.6945	112.2223	0.2599	38.6396	36.9134	36.7417	15.8708	114.8041	1.3355	95.1555	12.8488	5.3857	0.5559	1.946	184.8645	2956.3866	1.6102	0.1664	6.1694	0.0121	160.6999
TCGA-97-7554-01A-11R-2039-07	TCGA-97-7554	LUAD	0.3683	29.4948	1.3648	2.0929	164.7845	0.417	598.8185	18.3122	4.7016	44.0603	33.113	89.3644	29.9589	41.407	0.6962	0.1225	0.0196	0.1627	0	0	19.2436	0.0926	6.8925	42.3876	50.2955	10.4538	0.0691	14.9709	38.3835	0.9131	0	2.0955	24.5113	229.2211	2.658	0.2738	16.4384	13.5458	4.2061	7.8878	7.0374	0.1805	1.1836	4.7752	3.1344	29.6965	0.0477	48.297	1.0026	29.5858	0.0234	33.6069	8.7067	23.8879	6.8823	60.8067	0.4479	22.8693	3.9215	2.7632	0.0462	0.9106	51.4211	1162.6765	0.3551	0.0719	0.4306	0.0131	27.5069
