patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-49-6745-11A-01R-1858-07	TCGA-49-6745	LUAD	0.9628	38.7077	0.9329	0.2196	107.1969	1.1746	173.1853	34.1981	13.7114	21.0424	0.7977	137.5294	11.992	24.3632	3.3967	0.4425	0.0606	0.9513	0	0.0329	11.5163	0.1577	11.2875	34.5654	225.9483	2.3719	0.1069	6.755	23.4546	1.2127	0.2403	2.0494	18.6287	69.5265	0.5559	0.1872	46.8412	4.0538	7.7622	52.8959	26.0545	0.2235	1.2742	5.1785	3.0432	9.315	0.0316	258.0491	0.9975	57.9367	0.2535	28.1324	18.5283	65.746	5.1526	54.0101	0.3979	15.4349	20.8568	2.1836	0.4291	0.7549	101.6841	4819.7228	1.4839	0.0334	1.1308	0	47.5971
TCGA-49-6761-01A-31R-1949-07	TCGA-49-6761	LUAD	0.4607	20.1069	1.5134	1.5785	157.016	1.0701	538.7756	34.483	40.0915	88.023	28.0519	225.9231	30.5253	56.1659	0.5772	0.4422	0	2.0552	0.133	0	62.6161	0.1955	5.2139	63.8184	49.147	30.2122	0.016	12.5588	136.3023	0.8189	0.1051	2.8596	107.4178	250.533	2.8717	0.1137	62.0583	36.181	8.4511	29.4103	20.4763	0.053	2.5629	9.4691	2.2623	18.7692	0.0221	110.9488	2.0602	34.5805	0.3041	17.5463	7.879	65.1199	4.7383	56.7856	0.5456	9.9483	14.4736	59.6542	0.6567	1.7957	51.6308	729.8071	1.3553	0.0818	0.9323	0	6.7232
TCGA-49-6761-11A-01R-1949-07	TCGA-49-6761	LUAD	1.4845	31.6912	0.8976	0.2431	77.8639	4.757	158.1382	33.0414	19.5445	25.5097	4.2122	55.7532	13.328	35.0124	2.5403	0.0274	0.0394	0.1822	0	0	15.0218	0.1307	6.5473	21.1722	579.2125	7.9722	0.1193	5.7142	16.0154	0.4257	0.4955	3.4314	25.6634	57.6283	0.4789	0.0513	7.1595	4.8175	7.996	42.9847	19.1564	0.433	0.8297	6.5556	3.5008	25.8122	0.0275	250.9586	0.0206	67.1387	1.2735	39.0374	72.9874	9.8387	9.751	99.6532	0.7021	17.1942	44.3515	1.6351	0.7684	1.0632	57.7252	1892.5677	1.2525	0.1015	0.447	0	42.0485
TCGA-50-5930-01A-11R-1755-07	TCGA-50-5930	LUAD	0.3241	27.8986	0.9635	1.2598	141.0577	0.7899	243.7263	32.9633	14.5578	43.0479	54.0355	109.8602	31.0765	25.9272	0.6724	0.6045	0	0.4281	0.0346	0	11.8631	0.5208	5.9576	31.6231	73.4724	303.1723	0.0584	1.1199	45.4604	0.242	0.0766	0.5384	62.91	96.092	2.0444	0.1696	34.1945	18.5777	17.778	77.9615	10.1247	0.0509	3.8923	9.7548	6.0084	16.0736	0.0807	711.0843	1.8168	23.1496	0	34.8215	10.4624	17.4266	4.6935	52.2947	0.8838	12.7256	7.7717	2.1228	0.171	2.2672	36.073	1033.959	0.946	0.0851	0.0386	0	6.2075
TCGA-50-5930-11A-01R-1755-07	TCGA-50-5930	LUAD	1.1337	46.809	0.7455	0.1197	98.9844	1.4355	196.1108	41.2743	6.5717	25.1737	0.3321	61.4652	15.7942	38.403	3.7716	0.023	0.033	0.061	0	0	12.2213	0.1563	10.5766	16.7964	331.149	1.7315	0.1332	3.9119	37.5509	0.5634	0.4585	6.9245	6.5032	63.7783	0.5408	0.0645	1.4852	8.4206	7.9589	72.2274	4.7828	0.3539	1.2929	6.143	1.8059	19.1082	0.023	226.8801	0.1726	71.1078	0.3752	49.1024	19.0115	0.786	20.342	55.3024	0.7838	44.2617	12.4855	0.9523	0.4094	1.1097	135.7196	3103.2091	0.8989	0.0485	0.3523	0	109.0344
TCGA-50-5931-01A-11R-1755-07	TCGA-50-5931	LUAD	0.2773	4.665	5.4795	0.7709	249.6254	0.0232	724.4784	15.5829	1.1673	39.1034	17.1823	203.2674	72.126	14.1847	0.0766	64.3002	0	0.0756	0	0	19.85	0.0258	1.1891	12.637	16.871	88.8344	0.0687	0.4009	16.1412	0.0759	0	0.7704	4.2716	127.0308	0.3156	0.0443	2.85	5.0714	0.1451	27.4534	1.2595	10.0812	3.3535	1.0703	19.1519	18.5381	0.019	75.5312	0.1568	1.1782	0.0163	31.6048	1.4845	5.0357	0.5684	10.3641	1.0631	0.8392	1.1265	0.3112	0.0483	0.5588	4.4771	86.0078	0	0.6613	0.5089	0.0364	0.6761
TCGA-50-5931-11A-01R-1858-07	TCGA-50-5931	LUAD	0.7929	44.0661	0.6484	0.3921	73.0648	1.0305	161.3233	36.168	7.9205	39.0398	9.7055	62.5427	13.4236	27.784300000000002	2.2338	0.0443	0	0	0	0.0346	20.3523	0.0602	9.4339	18.3679	745.5251	1.3938	0.0962	8.4734	15.1416	1.8167	0.2524	4.5303	22.278	67.4583	0.521	0.1552	7.3349	4.7614	6.6192	13.4218	9.2157	0.3828	1.3106	4.0973	3.7214	11.896	0.0111	145.1626	0.4491	28.0993	0.6087	43.9404	51.8624	5.6947	7.3837	114.788	0.2832	38.9399	16.1845	0.325	0.5447	0.9575	66.7168	2287.9209	1.1258	0.0234	1.103	0.0212	64.3027
TCGA-50-5932-01A-11R-1755-07	TCGA-50-5932	LUAD	0.333	12.5976	2.4	0.3121	186.2145	0.2446	130.3715	16.6695	1.4363	34.6227	1.4001	96.0277	24.9277	23.5511	0.3828	2.3584	0.0359	0.0497	0.0107	0	16.7687	0.017	1.7339	29.4348	63.9419	11.3645	0.009	0.8939	8.1385	0.1499	0.0119	0.3734	27.4102	99.9782	0.5824	0.0875	3.1904	10.4135	24.2312	5.0445	2.441	0.0457	2.3739	1.0201	0.6111	3.2787	0.0375	41.3215	0.2344	17.9282	0.0107	30.791	2.4032	3.4154	2.9315	15.9135	0.1064	7.1946	2.0719	0.8944	0.0953	0.9173	20.2274	388.421	0.2116	0	0.0837	0.0239	25.9907
TCGA-50-5932-11A-01R-1755-07	TCGA-50-5932	LUAD	1.4747	46.3195	1.1406	0.2213	93.2719	2.2401	159.2077	27.6358	7.6626	22.5365	0.6009	70.2559	11.7148	32.4621	1.854	0.0472	0.1017	0.1566	0.0203	0.0368	22.9574	0.0642	8.8191	21.8493	474.0721	1.2733	0.2223	3.9155	30.4936	0.673	0.3587	3.341	4.1964	48.0456	0.5171	0.2317	4.8777	5.4044	8.1205	36.2759	14.2261	0.3544	0.8917	5.2755	2.664	19.9618	0.0236	124.4022	0.3191	62.9354	0.2028	38.4441	35.1258	3.6161	16.4071	60.4726	0.3306	34.8571	25.7329	1.5077	0.6606	0.9016	102.7275	1861.2002	1.0461	0.0748	0.5652	0	105.1001
TCGA-50-5933-01A-11R-1755-07	TCGA-50-5933	LUAD	0.145	58.657	1.3637	2.3736	209.0627	0.2334	374.9243	32.891	2.9122	52.6906	69.3354	142.382	29.5495	42.5849	1.7172	1.1269	0.0228	0.6112	0	0	48.0884	0.0216	15.6835	45.7555	35.5099	89.8738	0.0805	16.8681	370.5282	1.4537	0.0151	10.3482	56.8665	202.6604	4.8185	0.2746	63.5435	27.9742	6.834	14.7809	6.3237	0.1323	2.7063	3.5409	4.2975	33.924	0.0238	120.4425	1.4312	103.217	0	27.4515	13.1853	91.643	27.2009	162.7231	0.3094	39.1773	3.5375	2.714	0.053900000000000003	1.0826	152.7713	2055.4852	0.3105	0.0252	0.8822	0.0761	65.2779
